movie_id,title,poster_path,backdrop_path,genres,overview,year,runtime,vote_average,added_date
489,Good Will Hunting,/z2FnLKpFi1HPO7BEJxdkv6hpJSU.jpg,/xj1Sv1xm4Y0ydBueGuf10Y9qM0O.jpg,Drama,"Will Hunting is a headstrong, working-class genius who is failing the lessons of life. After one too many run-ins with the law, Will's last chance is a psychology professor, who might be the only man who can reach him.",1997,0,8.2,2026-08-24
74308,Detachment,/bC5H2dabnHrQJD1KmQUSUUeuCXU.jpg,/iJwtR94Yq9U83ET0TzirsGWTewH.jpg,Drama,"A chronicle of three weeks in the lives of several high school teachers, administrators and students through the eyes of substitute teacher, Henry Barthes. Henry roams from school to school, imparting modes of knowledge, but never staying long enough to form any semblance of sentient attachment.",2011,0,7.6,2026-08-24
306947,The Invitation,/otZMaGHWnKPgOODF6SSVNGqbI4X.jpg,/UT0FaX3djSmvphvDopomPNWXIQ.jpg,"Thriller, Horror","Will and his new girlfriend Kira are invited to a dinner with old friends at the house of Will’s ex Eden and her new partner David. Although the evening appears to be relaxed, Will soon gets a creeping suspicion that their charming host David is up to something.",2016,0,6.4,2026-08-24
1137350,The Phoenician Scheme,/u2jxeYLXTYfu0bqJmnLGIgZswib.jpg,/bajke0ThKJ2V2iHE9DDYOJGdS7a.jpg,"Comedy, Adventure, Crime","Wealthy businessman Zsa-zsa Korda appoints his only daughter, a nun, as sole heir to his estate. As Korda embarks on a new enterprise, they soon become the target of scheming tycoons, foreign terrorists, and determined assassins.",2025,0,6.5,2026-08-24
273248,The Hateful Eight,/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg,/7g1zO5t0bd27Iqn5ZUDJmksOGPJ.jpg,"Drama, Mystery, Western",Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,2015,0,7.8,2026-08-24
228150,Fury,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,/95ckrV6wQgbffurAVmETQ5YKASL.jpg,"War, Drama, Action","April, 1945. As the Allies make their final push in the European Theater, a battle-hardened army sergeant commands a Sherman tank with a five-man crew on a deadly mission behind enemy lines.",2014,0,7.5,2026-08-24
34996,The Addiction,/1Yy8H2tKQ16mffLFRfxcBHKBdyF.jpg,/1ndAmeEZWX3xTAZVEphdKC3uLTc.jpg,"Drama, Horror",A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.,1995,0,6.5,2026-08-24
748230,Salem's Lot,/qFAK70ePry3kQWEnqsGYeZPhNPa.jpg,/jf1V00dZdNkVfEq7VPk8frrlELk.jpg,Horror,Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.,2024,0,6.0,2026-08-24
858017,I Saw the TV Glow,/hS4GYkYpN1rfl4GIxyc02sCyfAj.jpg,/jKulL2hdp5S7dVbpoItAtdCyzXI.jpg,"Drama, Horror","In late-90s suburbia, a lonely teenager meets a girl at school who introduces him to a mysterious late-night T.V. show — a vision of a supernatural world pulsing beneath their own. As time goes on, however, questions begin to arise about why the show sometimes seems more real than their own lives. In the pale glow of the television, their view of reality begins to crack.",2024,0,6.2,2026-08-24
1128614,A Nice Indian Boy,/xfY2FZlnm5uaQbaWR9IYW41J1xG.jpg,/5c5XkbaUQq02Mqp0mpM2eFF9ifn.jpg,"Romance, Comedy","When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams.",2025,0,7.2,2026-08-24
