Date,Name,Year,Letterboxd URI,Rating,movie_id,genres,overview,director,cast,keywords,poster_path,backdrop_path
2026-07-11,Talk to Me,2022.0,https://letterboxd.com/sarthi_watcher/film/talk-to-me-2022/,3.5,1008042.0,,,,,,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,/46Os8U0DEPmI0OnvKDxucl6SLVZ.jpg
2026-07-10,Send Help,2026.0,https://letterboxd.com/sarthi_watcher/film/send-help/,3.0,1198994.0,"Horror, Thriller, Comedy","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",Sam Raimi,"Rachel McAdams, Dylan O'Brien, Edyll Ismail","bullying, role reversal, survival, struggle for survival, survival horror, deserted island, power struggle, colleagues, bullying in the workplace, plane crash, gender inequality, comedy thriller, comedy horror",/zbJWVHOtj3ljBzWgL1P8pxP03Up.jpg,/bpp58yHuQmpt6xwggI63mVRw7po.jpg
2026-07-09,The Thaw,2009.0,https://letterboxd.com/sarthi_watcher/film/the-thaw/,2.0,23410.0,"Horror, Science Fiction","At a remote Arctic research station, four ecology students discover the real horror of global warming is not the melting ice, but what's frozen within it. A prehistoric parasite is released from the carcass of a Woolly Mammoth upon the unsuspecting students who are forced to quarantine and make necessary sacrifices, or risk infecting the rest of the world.",Mark A. Lewis,"Val Kilmer, Martha MacIsaac, Aaron Ashmore","quarantine, parasite",/6oxJ75L6rB88TeSspcnPA7JqjWw.jpg,/5df3793jyBeUQupx0uq1cA6lGF8.jpg
2026-07-09,The Dawn is Your Enemy,2005.0,https://letterboxd.com/sarthi_watcher/film/the-dawn-is-your-enemy/,4.0,1221167.0,,,,,,,
2026-07-07,Babel,2006.0,https://letterboxd.com/sarthi_watcher/film/babel-2006/,3.5,1164.0,,,,,,/bZByZbvU7u14WjoUJERqCRW9saN.jpg,/9YoLdWeBSxAdR6BqQ5uS88d3FWO.jpg
2026-07-07,Kids,1995.0,https://letterboxd.com/sarthi_watcher/film/kids/,2.0,9344.0,,,,,,/8qV8hUVCUnFIQKewzlhaFWhdszK.jpg,/3gmreIMvzQgd1q4hsiUN5ADV88W.jpg
2026-07-06,Gothika,2003.0,https://letterboxd.com/sarthi_watcher/film/gothika/,3.0,4970.0,,,,,,/frSGNQcWx1ek8dCduFYCux1ho7n.jpg,/eLBHPVQkJZyaSEUAGAFWNJJwmeo.jpg
2026-07-05,Cobweb,2023.0,https://letterboxd.com/sarthi_watcher/film/cobweb-2023/,2.0,709631.0,,,,,,/cGXFosYUHYjjdKrOmA0bbjvzhKz.jpg,/nYDPmxvl0if5vHBBp7pDYGkTFc7.jpg
2026-07-05,Malena,2000.0,https://letterboxd.com/sarthi_watcher/film/malena/,3.0,10867.0,,,,,,/3OyQTl0IGkbnjDxd3MhztfPE34g.jpg,/vadUKKQixxOKWkcuZ1SUEoBQeVG.jpg
2026-07-05,Sleuth,1972.0,https://letterboxd.com/sarthi_watcher/film/sleuth/,4.0,993.0,,,,,,/jAREYLUnYGwPjbQr0vs1s38QLkH.jpg,/rVdKBzVyHTG1gv8bAAJnr5Eu6gl.jpg
2026-07-04,All About Eve,1950.0,https://letterboxd.com/sarthi_watcher/film/all-about-eve/,4.5,705.0,Drama,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders","playwright, hollywood, black and white, relationship, insecurity, broadway, based on short story, broadway star, manipulative woman, stage struck, homewrecker, enchant",/blBzZaatPWVuWpXEnPscMA4Xp6m.jpg,/zAL3LOswagN9onjN8DPcNFTqKuD.jpg
